place,sector,employment,proportion
Montr̩al,325 Chemical manufacturing,16445,0.007730656
Prince Albert,213 Support activities for mining and oil and gas extraction,165,0.007722911
"Sorel-Tracy, QC",336 Transportation equipment manufacturing,140,0.007641921
Miramichi,212 Mining and quarrying (except oil and gas),100,0.007619048
North Battleford,211 Oil and gas extraction,75,0.007594937
"Winkler, MB",331 Primary metal manufacturing,115,0.007575758
Penticton,336 Transportation equipment manufacturing,155,0.007572057
Saint-Georges,326 Plastics and rubber products manufacturing,125,0.007525587
"Alma, QC",212 Mining and quarrying (except oil and gas),115,0.007513884
Toronto,325 Chemical manufacturing,23545,0.007488534
"Barrie, ON",326 Plastics and rubber products manufacturing,805,0.007435803
"Windsor, ON",325 Chemical manufacturing,1165,0.00742251
Saint-Hyacinthe,326 Plastics and rubber products manufacturing,215,0.007331628
Saint-Hyacinthe,327 Non-metallic mineral product manufacturing,215,0.007331628
Joliette,327 Non-metallic mineral product manufacturing,160,0.007315958
Lachute,331 Primary metal manufacturing,40,0.007213706
"Hawkesbury, ON",325 Chemical manufacturing,30,0.007194245
"Hawkesbury, ON",336 Transportation equipment manufacturing,30,0.007194245
Bay Roberts,336 Transportation equipment manufacturing,35,0.007179487
North Bay,212 Mining and quarrying (except oil and gas),245,0.007162696
"Cranbrook, BC",211 Oil and gas extraction,95,0.007161704
Kelowna,213 Support activities for mining and oil and gas extraction,730,0.007136224
"Norfolk, ON",327 Non-metallic mineral product manufacturing,220,0.00712897
"Sorel-Tracy, QC",212 Mining and quarrying (except oil and gas),130,0.00709607
"Wasaga Beach, ON",327 Non-metallic mineral product manufacturing,60,0.007071302
Victoriaville,326 Plastics and rubber products manufacturing,170,0.007070077
Victoriaville,336 Transportation equipment manufacturing,170,0.007070077
Campbell River,213 Support activities for mining and oil and gas extraction,130,0.007063298
Cornwall,325 Chemical manufacturing,185,0.007007576
"Weyburn, SK",327 Non-metallic mineral product manufacturing,40,0.006968641
"Tillsonburg, ON",326 Plastics and rubber products manufacturing,50,0.006925208
Brantford,331 Primary metal manufacturing,470,0.006819996
"Chatham-Kent, ON",325 Chemical manufacturing,330,0.006760217
Victoria,336 Transportation equipment manufacturing,1315,0.006729957
Lethbridge,336 Transportation equipment manufacturing,420,0.00672538
"Cold Lake, AB",324 Petroleum and coal products manufacturing,60,0.006703911
Toronto,326 Plastics and rubber products manufacturing,21040,0.006691814
"Medicine Hat, AB",326 Plastics and rubber products manufacturing,265,0.006676745
Prince Rupert,213 Support activities for mining and oil and gas extraction,45,0.006646972
Cobourg,331 Primary metal manufacturing,55,0.006559332
Sherbrooke,325 Chemical manufacturing,685,0.006515433
Dolbeau-Mistassini,331 Primary metal manufacturing,45,0.006465517
Moose Jaw,325 Chemical manufacturing,115,0.006403118
"Guelph, ON",325 Chemical manufacturing,550,0.006386438
"Wetaskiwin, AB",211 Oil and gas extraction,40,0.006329114
Lachute,327 Non-metallic mineral product manufacturing,35,0.006311993
Winnipeg,326 Plastics and rubber products manufacturing,2620,0.006292027
Moncton,211 Oil and gas extraction,490,0.006289712
New Glasgow,336 Transportation equipment manufacturing,100,0.006261741
Shawinigan,336 Transportation equipment manufacturing,145,0.006254044
Drummondville,327 Non-metallic mineral product manufacturing,300,0.006243496
Parksville,211 Oil and gas extraction,65,0.006235012
Parksville,213 Support activities for mining and oil and gas extraction,65,0.006235012
Saint John,213 Support activities for mining and oil and gas extraction,395,0.006216556
