place,sector,employment,proportion
Port Hope,211 Oil and gas extraction,0,0
Port Hope,324 Petroleum and coal products manufacturing,0,0
"Centre Wellington, ON",211 Oil and gas extraction,0,0
"Ingersoll, ON",213 Support activities for mining and oil and gas extraction,0,0
"Ingersoll, ON",324 Petroleum and coal products manufacturing,0,0
Brantford,211 Oil and gas extraction,0,0
"Woodstock, ON",213 Support activities for mining and oil and gas extraction,0,0
"Woodstock, ON",324 Petroleum and coal products manufacturing,0,0
"Tillsonburg, ON",324 Petroleum and coal products manufacturing,0,0
"Stratford, ON",211 Oil and gas extraction,0,0
"Stratford, ON",213 Support activities for mining and oil and gas extraction,0,0
"Stratford, ON",324 Petroleum and coal products manufacturing,0,0
"Wasaga Beach, ON",211 Oil and gas extraction,0,0
"Wasaga Beach, ON",324 Petroleum and coal products manufacturing,0,0
Owen Sound,213 Support activities for mining and oil and gas extraction,0,0
Owen Sound,324 Petroleum and coal products manufacturing,0,0
Collingwood,211 Oil and gas extraction,0,0
Collingwood,324 Petroleum and coal products manufacturing,0,0
Orillia,211 Oil and gas extraction,0,0
Orillia,213 Support activities for mining and oil and gas extraction,0,0
Orillia,324 Petroleum and coal products manufacturing,0,0
"Midland, ON",211 Oil and gas extraction,0,0
"Midland, ON",324 Petroleum and coal products manufacturing,0,0
"Sudbury, ON",324 Petroleum and coal products manufacturing,0,0
"Elliot Lake, ON",211 Oil and gas extraction,0,0
"Elliot Lake, ON",324 Petroleum and coal products manufacturing,0,0
"Elliot Lake, ON",325 Chemical manufacturing,0,0
"Elliot Lake, ON",327 Non-metallic mineral product manufacturing,0,0
Kenora,325 Chemical manufacturing,0,0
Kenora,326 Plastics and rubber products manufacturing,0,0
Steinbach,211 Oil and gas extraction,0,0
Steinbach,213 Support activities for mining and oil and gas extraction,0,0
Steinbach,324 Petroleum and coal products manufacturing,0,0
Portage la Prairie,211 Oil and gas extraction,0,0
Portage la Prairie,212 Mining and quarrying (except oil and gas),0,0
Portage la Prairie,213 Support activities for mining and oil and gas extraction,0,0
Portage la Prairie,324 Petroleum and coal products manufacturing,0,0
Portage la Prairie,325 Chemical manufacturing,0,0
Portage la Prairie,326 Plastics and rubber products manufacturing,0,0
Portage la Prairie,331 Primary metal manufacturing,0,0
"Thompson, MB",211 Oil and gas extraction,0,0
"Thompson, MB",324 Petroleum and coal products manufacturing,0,0
"Thompson, MB",326 Plastics and rubber products manufacturing,0,0
Yorkton,326 Plastics and rubber products manufacturing,0,0
Moose Jaw,326 Plastics and rubber products manufacturing,0,0
"Swift Current, SK",331 Primary metal manufacturing,0,0
"Swift Current, SK",336 Transportation equipment manufacturing,0,0
North Battleford,325 Chemical manufacturing,0,0
North Battleford,326 Plastics and rubber products manufacturing,0,0
Prince Albert,331 Primary metal manufacturing,0,0
Prince Albert,336 Transportation equipment manufacturing,0,0
"Estevan, SK",326 Plastics and rubber products manufacturing,0,0
"Estevan, SK",327 Non-metallic mineral product manufacturing,0,0
"Weyburn, SK",325 Chemical manufacturing,0,0
"Weyburn, SK",326 Plastics and rubber products manufacturing,0,0
"Weyburn, SK",336 Transportation equipment manufacturing,0,0
"Brooks, AB",325 Chemical manufacturing,0,0
High River,212 Mining and quarrying (except oil and gas),0,0
High River,326 Plastics and rubber products manufacturing,0,0
Canmore,326 Plastics and rubber products manufacturing,0,0
Canmore,336 Transportation equipment manufacturing,0,0
"Sylvan Lake, AB",331 Primary metal manufacturing,0,0
"Lacombe, AB",326 Plastics and rubber products manufacturing,0,0
Camrose,325 Chemical manufacturing,0,0
"Lloydminster, SK",331 Primary metal manufacturing,0,0
"Lloydminster, AB",331 Primary metal manufacturing,0,0
"Lloydminster, AB",336 Transportation equipment manufacturing,0,0
"Cold Lake, AB",325 Chemical manufacturing,0,0
"Cold Lake, AB",326 Plastics and rubber products manufacturing,0,0
"Cold Lake, AB",327 Non-metallic mineral product manufacturing,0,0
"Wetaskiwin, AB",324 Petroleum and coal products manufacturing,0,0
"Cranbrook, BC",325 Chemical manufacturing,0,0
"Cranbrook, BC",326 Plastics and rubber products manufacturing,0,0
"Cranbrook, BC",336 Transportation equipment manufacturing,0,0
Nelson,326 Plastics and rubber products manufacturing,0,0
Salmon Arm,324 Petroleum and coal products manufacturing,0,0
Salmon Arm,331 Primary metal manufacturing,0,0
Squamish,324 Petroleum and coal products manufacturing,0,0
Squamish,326 Plastics and rubber products manufacturing,0,0
Squamish,331 Primary metal manufacturing,0,0
Parksville,325 Chemical manufacturing,0,0
Parksville,326 Plastics and rubber products manufacturing,0,0
Parksville,331 Primary metal manufacturing,0,0
Port Alberni,324 Petroleum and coal products manufacturing,0,0
Port Alberni,325 Chemical manufacturing,0,0
Port Alberni,326 Plastics and rubber products manufacturing,0,0
Courtenay,325 Chemical manufacturing,0,0
Courtenay,331 Primary metal manufacturing,0,0
Powell River,324 Petroleum and coal products manufacturing,0,0
Powell River,326 Plastics and rubber products manufacturing,0,0
Powell River,336 Transportation equipment manufacturing,0,0
"Williams Lake, BC",324 Petroleum and coal products manufacturing,0,0
"Williams Lake, BC",326 Plastics and rubber products manufacturing,0,0
"Williams Lake, BC",336 Transportation equipment manufacturing,0,0
Quesnel,324 Petroleum and coal products manufacturing,0,0
Quesnel,336 Transportation equipment manufacturing,0,0
Prince Rupert,211 Oil and gas extraction,0,0
Prince Rupert,324 Petroleum and coal products manufacturing,0,0
Prince Rupert,325 Chemical manufacturing,0,0
Prince Rupert,326 Plastics and rubber products manufacturing,0,0
Prince Rupert,331 Primary metal manufacturing,0,0
Terrace,325 Chemical manufacturing,0,0
Terrace,336 Transportation equipment manufacturing,0,0
"Dawson Creek, BC",324 Petroleum and coal products manufacturing,0,0
"Dawson Creek, BC",327 Non-metallic mineral product manufacturing,0,0
"Dawson Creek, BC",331 Primary metal manufacturing,0,0
"Dawson Creek, BC",336 Transportation equipment manufacturing,0,0
Whitehorse,211 Oil and gas extraction,0,0
Whitehorse,325 Chemical manufacturing,0,0
Whitehorse,331 Primary metal manufacturing,0,0
"Yellowknife, NWT",324 Petroleum and coal products manufacturing,0,0
"Yellowknife, NWT",325 Chemical manufacturing,0,0
"Yellowknife, NWT",326 Plastics and rubber products manufacturing,0,0
"Yellowknife, NWT",331 Primary metal manufacturing,0,0
